parentR,childR
http://ru.wikipedia.org/wiki/Tata_Motors,http://ru.wikipedia.org/wiki/Land_Rover
http://ru.wikipedia.org/wiki/Viacom,http://ru.wikipedia.org/wiki/Paramount_Pictures
http://ru.wikipedia.org/wiki/NBC_Universal,http://ru.wikipedia.org/wiki/NBC
http://ru.wikipedia.org/wiki/Stichting_INGKA_Foundation,http://ru.wikipedia.org/wiki/IKEA
http://ru.wikipedia.org/wiki/Sumitomo_Mitsui_Banking_Corporation,http://ru.wikipedia.org/wiki/Mazda
http://ru.wikipedia.org/wiki/Ford,http://ru.wikipedia.org/wiki/Mazda
http://ru.wikipedia.org/wiki/Oracle,http://ru.wikipedia.org/wiki/Sun_Microsystems
http://ru.wikipedia.org/wiki/Правительство_Швеции,http://ru.wikipedia.org/wiki/TeliaSonera
http://ru.wikipedia.org/wiki/Kyocera,http://ru.wikipedia.org/wiki/Taito_Corporation
http://ru.wikipedia.org/wiki/Digia,http://ru.wikipedia.org/wiki/Qt_Development_Frameworks
http://ru.wikipedia.org/wiki/Square_Enix,http://ru.wikipedia.org/wiki/Taito_Corporation
http://ru.wikipedia.org/wiki/Microsoft_Studios,http://ru.wikipedia.org/wiki/Bungie
http://ru.wikipedia.org/wiki/Правительство_Российской_Федерации,http://ru.wikipedia.org/wiki/Почта_России
http://ru.wikipedia.org/wiki/Activision_Blizzard,http://ru.wikipedia.org/wiki/Raven_Software
http://ru.wikipedia.org/wiki/Систем_Кэпитал_Менеджмент,http://ru.wikipedia.org/wiki/Метинвест
http://ru.wikipedia.org/wiki/Национальная_государственная_телерадиокомпания_Республики_Беларусь,http://ru.wikipedia.org/wiki/Беларусь-1
http://ru.wikipedia.org/wiki/Порше_(род),http://ru.wikipedia.org/wiki/Porsche
http://ru.wikipedia.org/wiki/Volkswagen_(концерн),http://ru.wikipedia.org/wiki/MAN_Truck_&_Bus
http://ru.wikipedia.org/wiki/Российский_алюминий,http://ru.wikipedia.org/wiki/Богучанский_алюминиевый_завод
http://ru.wikipedia.org/wiki/MTV_Networks_Asia_Pacific,http://ru.wikipedia.org/wiki/MTV_Mandarin
http://ru.wikipedia.org/wiki/РусГидро,http://ru.wikipedia.org/wiki/Богучанский_алюминиевый_завод
http://ru.wikipedia.org/wiki/Ubisoft,http://ru.wikipedia.org/wiki/Ubisoft_Toronto
http://ru.wikipedia.org/wiki/Интер_(телеканал),http://ru.wikipedia.org/wiki/Zoom_(телеканал)
http://ru.wikipedia.org/wiki/France_Télécom,http://ru.wikipedia.org/wiki/Orange
http://ru.wikipedia.org/wiki/The_Walt_Disney_Company,http://ru.wikipedia.org/wiki/Диснейленд_(Париж)
http://ru.wikipedia.org/wiki/The_Walt_Disney_Company,http://ru.wikipedia.org/wiki/Miramax_Films
http://ru.wikipedia.org/wiki/The_Walt_Disney_Company,http://ru.wikipedia.org/wiki/ESPN
http://ru.wikipedia.org/wiki/Hearst_Corporation,http://ru.wikipedia.org/wiki/ESPN
http://ru.wikipedia.org/wiki/The_Capital_Group_Companies,http://ru.wikipedia.org/wiki/Amazon.com
"http://ru.wikipedia.org/wiki/Дерипаска,_Олег_Владимирович",http://ru.wikipedia.org/wiki/Горьковский_автомобильный_завод
http://ru.wikipedia.org/wiki/Electronic_Arts,http://ru.wikipedia.org/wiki/BioWare
http://ru.wikipedia.org/wiki/Государственный_строй_Норвегии,http://ru.wikipedia.org/wiki/Telenor
http://ru.wikipedia.org/wiki/The_Walt_Disney_Company,http://ru.wikipedia.org/wiki/ABC_Family
http://ru.wikipedia.org/wiki/Hearst_Corporation,http://ru.wikipedia.org/wiki/A&E
http://ru.wikipedia.org/wiki/DAF_Trucks,http://ru.wikipedia.org/wiki/Tatra
http://ru.wikipedia.org/wiki/Time_Warner,http://ru.wikipedia.org/wiki/Boomerang
http://ru.wikipedia.org/wiki/Bloomberg,http://ru.wikipedia.org/wiki/Bloomberg_Television
http://ru.wikipedia.org/wiki/News_Corporation,http://ru.wikipedia.org/wiki/ABC_Family
http://ru.wikipedia.org/wiki/Высшие_федеральные_органы_государственной_власти_США,http://ru.wikipedia.org/wiki/Голос_Америки
http://ru.wikipedia.org/wiki/NBC_Universal,http://ru.wikipedia.org/wiki/USA_Network
http://ru.wikipedia.org/wiki/JPMorgan_Chase,http://ru.wikipedia.org/wiki/Carlson_Wagonlit_Travel
http://ru.wikipedia.org/wiki/Публичная_компания,http://ru.wikipedia.org/wiki/Construcciones_y_Auxiliar_de_Ferrocarriles
http://ru.wikipedia.org/wiki/Take-Two_Interactive,http://ru.wikipedia.org/wiki/2K_Marin
http://ru.wikipedia.org/wiki/Cartoon_Network,http://ru.wikipedia.org/wiki/Boomerang
http://ru.wikipedia.org/wiki/Телекомпания_CBN,http://ru.wikipedia.org/wiki/ABC_Family
http://ru.wikipedia.org/wiki/Daimler,http://ru.wikipedia.org/wiki/Freightliner
http://ru.wikipedia.org/wiki/Государственный_строй_Ирана,http://ru.wikipedia.org/wiki/ИРНА
"http://ru.wikipedia.org/wiki/Хайнеман,_Джейми",http://ru.wikipedia.org/wiki/M5_Industries
http://ru.wikipedia.org/wiki/Time_Warner,http://ru.wikipedia.org/wiki/HBO
http://ru.wikipedia.org/wiki/IGN,http://ru.wikipedia.org/wiki/GameSpy
http://ru.wikipedia.org/wiki/Electronic_Arts,http://ru.wikipedia.org/wiki/EA_Canada
http://ru.wikipedia.org/wiki/Государственное_предприятие,http://ru.wikipedia.org/wiki/Литовское_национальное_радио_и_телевидение
http://ru.wikipedia.org/wiki/Universal_Music_Group,http://ru.wikipedia.org/wiki/CUBE_Entertainment
http://ru.wikipedia.org/wiki/Activision_Blizzard,http://ru.wikipedia.org/wiki/Infinity_Ward
"http://ru.wikipedia.org/wiki/Цветков,_Николай_Александрович",http://ru.wikipedia.org/wiki/Императорский_фарфоровый_завод
"http://ru.wikipedia.org/wiki/Лисовски,_Мишель_Адам",http://ru.wikipedia.org/wiki/FashionTV
http://ru.wikipedia.org/wiki/Правительство_Швеции,http://ru.wikipedia.org/wiki/Posten_(Швеция)
http://ru.wikipedia.org/wiki/Правительство_Российской_Федерации,http://ru.wikipedia.org/wiki/РИА_Новости
http://ru.wikipedia.org/wiki/Государственный_строй_Дании,http://ru.wikipedia.org/wiki/Posten_(Швеция)
http://ru.wikipedia.org/wiki/Финляндия,http://ru.wikipedia.org/wiki/Valtion_lentokonetehdas
http://ru.wikipedia.org/wiki/Hearst_Corporation,http://ru.wikipedia.org/wiki/The_Biography_Channel
http://ru.wikipedia.org/wiki/Fuji_Heavy_Industries,http://ru.wikipedia.org/wiki/Subaru_Tecnica_International
http://ru.wikipedia.org/wiki/Sony_Music_Entertainment,http://ru.wikipedia.org/wiki/Ultra_Records
http://ru.wikipedia.org/wiki/SoftBank,http://ru.wikipedia.org/wiki/Sprint_Nextel
http://ru.wikipedia.org/wiki/Daimler,http://ru.wikipedia.org/wiki/Setra
http://ru.wikipedia.org/wiki/The_Walt_Disney_Company,http://ru.wikipedia.org/wiki/Super_RTL
http://ru.wikipedia.org/wiki/Warner_Bros.,http://ru.wikipedia.org/wiki/Warner_Bros._Television
http://ru.wikipedia.org/wiki/Time_Warner,http://ru.wikipedia.org/wiki/Warner_Bros._Television
http://ru.wikipedia.org/wiki/Carlsberg,http://ru.wikipedia.org/wiki/Tuborg
http://ru.wikipedia.org/wiki/Imperial_Tobacco,http://ru.wikipedia.org/wiki/Altadis
http://ru.wikipedia.org/wiki/RTL_Group,http://ru.wikipedia.org/wiki/Super_RTL
http://ru.wikipedia.org/wiki/Би-би-си,http://ru.wikipedia.org/wiki/BBC_Sport
http://ru.wikipedia.org/wiki/Ford,http://ru.wikipedia.org/wiki/Ford_Otosan
http://ru.wikipedia.org/wiki/Министерство_культуры_Российской_Федерации,http://ru.wikipedia.org/wiki/Союзмультфильм
http://ru.wikipedia.org/wiki/Федеральное_космическое_агентство,http://ru.wikipedia.org/wiki/Телестудия_Роскосмоса
http://ru.wikipedia.org/wiki/Токио_Доум,http://ru.wikipedia.org/wiki/Tokyo_Metropolitan_Television
http://ru.wikipedia.org/wiki/Интеррос,http://ru.wikipedia.org/wiki/ТВ3
http://ru.wikipedia.org/wiki/Take-Two_Interactive,http://ru.wikipedia.org/wiki/Rockstar_London
"http://ru.wikipedia.org/wiki/Мордашов,_Алексей_Александрович",http://ru.wikipedia.org/wiki/Силовые_машины
"http://ru.wikipedia.org/wiki/Жеваго,_Константин_Валентинович",http://ru.wikipedia.org/wiki/Финансы_и_Кредит
http://ru.wikipedia.org/wiki/Би-би-си,http://ru.wikipedia.org/wiki/BBC_HD
http://ru.wikipedia.org/wiki/Toei,http://ru.wikipedia.org/wiki/Tokyo_Metropolitan_Television
http://ru.wikipedia.org/wiki/Kadokawa_Shoten,http://ru.wikipedia.org/wiki/Tokyo_Metropolitan_Television
http://ru.wikipedia.org/wiki/Honda,http://ru.wikipedia.org/wiki/Acura
